player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Josh Richardson;28;65;24.6;200;6,5;10.2;8.2;0.438;0.534;0.396;3.8;0.415;0.539;0.461;1.7;0.889;0.573;0.6;2.2;2.8;0.026;0.087;0.057;1.8;1;0.9;0.4;1.8;112.3;107.8;4.5;2.1;0.171
Joshua Primo;19;50;19.3;189;6,4;5.8;5.4;0.374;0.452;0.41;2.7;0.307;0.493;0.507;1.2;0.746;0.487;0.6;1.6;2.3;0.031;0.079;0.055;1.6;1.1;0.4;0.5;1.6;107.9;111.2;-3.3;-1.6;0.152
Jrue Holiday;32;67;32.9;205;6,3;18.3;14.2;0.501;0.57;0.565;4.8;0.411;0.664;0.336;2.7;0.761;0.593;1;3.5;4.5;0.031;0.1;0.066;6.8;2.7;1.6;0.4;2;118.2;109.7;8.5;6.4;0.231
Juan Toscano-Anderson;29;73;13.6;209;6,6;4.1;3.2;0.489;0.549;0.584;1.2;0.322;0.63;0.37;1;0.571;0.561;0.4;2;2.4;0.03;0.143;0.089;1.7;0.9;0.7;0.2;1.6;109.8;106.9;2.9;0.6;0.144
Juancho Hernangomez;26;40;11.1;214;6,9;3.3;2.7;0.415;0.528;0.305;1.7;0.348;0.349;0.651;0.9;0.559;0.542;0.7;1.8;2.5;0.063;0.155;0.11;0.5;0.4;0.4;0.3;0.6;113.7;113.3;0.5;-0.1;0.133
Julius Randle;27;72;35.3;250;6,8;20.1;17.3;0.411;0.459;0.542;5.4;0.308;0.687;0.313;5.6;0.756;0.509;1.7;8.2;9.9;0.045;0.225;0.132;5.1;3.4;0.7;0.5;2.8;108;111.6;-3.6;-2.3;0.279
Justin Anderson;28;16;19.7;231;6,5;6.4;5.9;0.379;0.458;0.412;3.7;0.254;0.379;0.621;1.2;0.789;0.493;0.3;2.6;2.9;0.013;0.142;0.076;2.1;0.5;0.5;0.4;1.4;116.7;116.9;-0.1;-0.9;0.149
Justin Champagnie;21;36;7.8;206;6,6;2.3;1.9;0.463;0.537;0.519;0.8;0.357;0.582;0.418;0.3;1;0.571;1;1;2;0.111;0.126;0.118;0.3;0.2;0.2;0.1;0.9;115.4;108;7.4;1.4;0.111
Justin Holiday;33;74;27.8;180;6,6;10.1;8.9;0.394;0.528;0.224;6.5;0.367;0.272;0.728;0.8;0.806;0.543;0.4;2.2;2.6;0.014;0.08;0.046;1.7;0.9;0.8;0.4;2.1;108.8;113.9;-5.1;-2.8;0.156
Justin Jackson;27;7;5.2;220;6,8;2.1;2.1;0.333;0.433;0.267;1.3;0.333;0.4;0.6;0.3;1;0.472;0.1;0.9;1;0.019;0.167;0.079;0.3;0.1;0;0;0.4;84.4;100;-15.6;-1.9;0.177
Justin Robinson;24;25;12.1;195;6,1;3.1;3.7;0.301;0.398;0.256;2.4;0.295;0.344;0.656;0.3;0.5;0.404;0.2;0.7;0.8;0.011;0.051;0.031;1.3;0.7;0.4;0;1.1;93.8;111.3;-17.5;-4.9;0.153
Justise Winslow;26;48;16.1;222;6,6;5.7;5.4;0.428;0.457;0.693;1.4;0.227;0.743;0.257;1.4;0.591;0.479;1;3.2;4.2;0.06;0.177;0.12;1.8;1;0.7;0.5;1.4;108.1;105.9;2.1;0.6;0.178
Jusuf Nurkic;27;56;28.2;290;6,11;15;10.7;0.535;0.548;0.727;1;0.268;0.907;0.093;4.8;0.69;0.586;3;8.1;11.1;0.101;0.283;0.191;2.8;2.6;1.1;0.6;3.4;109.9;110.1;-0.1;0.2;0.233
Juwan Morgan;25;2;15.5;232;6,7;2.5;1.5;0.667;0.833;0.4;1;0.5;0.333;0.667;0;0;0.833;1;1;2;0.061;0.065;0.063;0.5;0;0;0;1.5;106.2;132.3;-26.2;-8.5;0.04
KZ Okpala;23;21;11.6;215;6,8;3.7;3.3;0.435;0.5;0.545;1.2;0.346;0.623;0.377;0.5;0.727;0.521;0.5;1.4;2;0.044;0.118;0.081;0.7;0.2;0.2;0.3;1.2;106.9;104.2;2.7;0.3;0.141
Kai Jones;21;21;3;221;6,10;1;0.7;0.643;0.679;0.727;0.1;0.5;0.857;0.143;0.4;0.375;0.628;0.1;0.4;0.5;0.045;0.114;0.081;0.2;0.3;0;0.1;0.4;93.4;104.4;-11.1;-0.7;0.15
Karl-Anthony Towns;26;74;33.5;248;6,11;24.6;16.4;0.529;0.591;0.541;4.9;0.41;0.699;0.301;6.3;0.822;0.64;2.6;7.2;9.8;0.074;0.21;0.141;3.6;3.1;1;1.1;3.6;116.9;111.6;5.3;3.7;0.272
Keifer Sykes;28;32;17.7;167;5,11;5.6;5.9;0.363;0.434;0.467;2.8;0.3;0.526;0.474;0.5;0.882;0.456;0.3;1.2;1.4;0.014;0.069;0.04;1.9;1;0.4;0.1;1.6;108.5;112.9;-4.5;-2.2;0.174
Keita Bates-Diop;26;59;16.2;229;6,8;5.7;4.5;0.517;0.549;0.71;0.9;0.309;0.791;0.209;1;0.754;0.578;1.1;2.9;3.9;0.061;0.163;0.112;0.7;0.8;0.5;0.2;1;107;106.2;0.8;0.1;0.144
Kelan Martin;26;30;15;230;6,5;5.7;5.7;0.409;0.474;0.561;2.5;0.293;0.561;0.439;0.4;0.692;0.484;0.6;1.3;1.8;0.035;0.086;0.059;0.7;0.5;0.4;0.3;1.2;102.4;108.6;-6.2;-1.8;0.18
Keldon Johnson;22;75;31.9;220;6,6;17;13.5;0.466;0.545;0.488;5.3;0.398;0.605;0.395;3.1;0.756;0.574;1.1;5;6.1;0.031;0.148;0.089;2.1;1.2;0.8;0.2;2;113.2;111.1;2.1;1;0.21
Keljin Blevins;26;31;11.3;200;6,4;3.1;3.6;0.306;0.401;0.274;2.3;0.292;0.351;0.649;0.4;0.545;0.41;0.5;0.9;1.5;0.042;0.09;0.064;0.6;0.5;0.4;0;0.9;97.1;124.9;-27.7;-6.7;0.161
Kelly Olynyk;31;40;19.1;240;6,11;9.1;7.2;0.448;0.517;0.482;3;0.336;0.584;0.416;2.2;0.775;0.561;1.4;3.1;4.4;0.067;0.17;0.116;2.8;1.5;0.8;0.5;2.5;108.4;113.3;-4.9;-1.8;0.207
Kelly Oubre Jr.;26;76;26.3;203;6,6;15;12.3;0.44;0.542;0.385;7.3;0.345;0.407;0.593;2.5;0.667;0.56;1;2.9;4;0.036;0.106;0.071;1.1;0.9;1;0.4;2.5;112.3;112.4;-0.2;-0.3;0.223
Kemba Walker;32;37;25.6;184;6,0;11.6;10;0.403;0.501;0.353;5.4;0.367;0.462;0.538;1.9;0.845;0.537;0.4;2.6;3;0.014;0.099;0.055;3.5;1.3;0.7;0.2;1;105.4;114.5;-9.1;-4.9;0.202
Kenrich Williams;27;49;21.9;210;6,6;7.4;6.5;0.461;0.525;0.579;2.5;0.339;0.618;0.382;1.1;0.545;0.532;1.5;3;4.5;0.062;0.123;0.092;2.2;0.9;0.9;0.2;1.7;102;100.3;1.7;0.5;0.153
Kent Bazemore;32;39;14;195;6,4;3.4;3.6;0.324;0.428;0.242;2.1;0.363;0.424;0.576;0.4;0.765;0.451;0.3;1.4;1.8;0.022;0.097;0.059;0.9;0.5;0.6;0.2;1.8;99.8;108.7;-8.9;-3;0.128
