player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
P.J. Dozier;25;18;18.9;205;6,6;5.4;5.5;0.364;0.439;0.433;2.7;0.313;0.515;0.485;0.7;0.769;0.463;0.8;2.7;3.5;0.038;0.144;0.089;1.6;0.7;0.6;0.3;1.8;96.6;109.5;-12.9;-5;0.147
P.J. Tucker;37;71;27.9;245;6,5;7.6;6;0.484;0.577;0.471;2.7;0.415;0.549;0.451;0.9;0.738;0.593;1.4;4;5.5;0.052;0.146;0.099;2.1;0.9;0.8;0.2;2.3;113.2;107.1;6.2;3.2;0.116
P.J. Washington;23;65;27.2;230;6,7;10.3;8.2;0.47;0.573;0.419;4.6;0.365;0.434;0.566;1.2;0.716;0.588;1.3;3.9;5.2;0.044;0.142;0.092;2.3;1.3;0.9;0.9;2.3;115;111.5;3.5;2.2;0.154
Paris Bass;26;2;3.7;200;6,8;3;3;0.333;0.333;0.667;1;0;0.667;0.333;1;1;0.436;1;1;2;0.2;0.222;0.211;0;1;0.5;0;1;94.4;93.8;0.7;1;0.36
Pascal Siakam;28;68;37.9;230;6,8;22.8;17.8;0.494;0.525;0.672;3.2;0.344;0.819;0.181;5.6;0.749;0.565;1.9;6.6;8.5;0.046;0.182;0.111;5.3;2.7;1.3;0.6;3.3;114.3;109.6;4.8;3.8;0.257
Pat Connaughton;29;65;26;209;6,5;9.9;7.6;0.458;0.605;0.251;5.7;0.395;0.254;0.746;0.8;0.833;0.62;0.7;3.5;4.2;0.025;0.13;0.077;1.3;0.5;0.9;0.2;1.3;111.3;112.1;-0.7;-0.4;0.137
Patrick Beverley;33;58;25.4;180;6,1;9.2;7.5;0.406;0.501;0.353;4.2;0.343;0.445;0.555;2.3;0.722;0.539;1.1;3.1;4.1;0.038;0.119;0.077;4.6;1.3;1.2;0.9;3;113.6;109.8;3.7;1.9;0.158
Patrick Williams;20;17;24.8;215;6,7;9;6;0.529;0.603;0.51;1.7;0.517;0.716;0.284;2.4;0.732;0.637;1;3.1;4.1;0.04;0.132;0.084;0.9;0.9;0.5;0.5;1.6;107.8;113.3;-5.5;-3.3;0.139
Patty Mills;33;81;29;180;6,0;11.4;9.8;0.408;0.551;0.21;7;0.4;0.285;0.715;0.7;0.814;0.563;0.2;1.7;1.9;0.008;0.055;0.032;2.3;0.9;0.6;0.2;1.4;112.3;110.7;1.5;1.4;0.16
Paul George;32;31;34.8;220;6,8;24.3;20.5;0.421;0.493;0.469;8.3;0.354;0.596;0.404;4.8;0.858;0.538;0.4;6.5;6.9;0.011;0.171;0.094;5.7;4.1;2.2;0.4;2.4;108.2;103.9;4.2;3;0.329
Paul Millsap;37;33;11.4;257;6,7;3.5;3.5;0.391;0.426;0.643;1.1;0.229;0.696;0.304;0.7;0.708;0.458;1.2;2.2;3.5;0.096;0.182;0.137;0.9;0.6;0.3;0.4;2;106.9;110.4;-3.5;-0.7;0.158
Paul Reed;23;38;8;210;6,9;3.1;2.5;0.563;0.573;0.897;0.2;0.25;0.917;0.083;0.4;0.429;0.568;1.2;1.3;2.4;0.137;0.164;0.15;0.4;0.3;0.9;0.4;1.5;107.7;113.9;-6.2;-1.1;0.151
Paul Watson;27;9;17.4;210;6,6;3.4;3.9;0.343;0.429;0.387;2.9;0.231;0.257;0.743;0.2;0.5;0.432;0.3;2.7;3;0.016;0.145;0.077;0.9;0.4;0.3;0.3;1.1;99.7;117.6;-17.9;-6.2;0.106
Payton Pritchard;24;71;14.1;195;6,1;6.2;5.3;0.429;0.564;0.267;3.5;0.412;0.343;0.657;0.3;1;0.578;0.5;1.4;1.9;0.031;0.093;0.063;2;0.6;0.4;0.1;0.9;109.4;107.2;2.2;0.9;0.18
Petr Cornelie;26;13;2.9;220;6,11;1.1;1.2;0.333;0.367;0.571;0.6;0.125;0.467;0.533;0.3;0.75;0.418;0.5;0.5;1.1;0.159;0.219;0.184;0.2;0.3;0.1;0.1;0.5;102.3;96.5;5.8;0.6;0.208
Precious Achiuwa;22;73;23.6;225;6,8;9.1;8.3;0.439;0.486;0.63;2.1;0.359;0.741;0.259;1.8;0.595;0.503;2;4.5;6.5;0.075;0.188;0.128;1.1;1.2;0.5;0.6;2.1;108.7;106.7;1.9;1;0.18
Quentin Grimes;22;46;17.1;210;6,4;6;5.1;0.404;0.557;0.167;4.1;0.381;0.196;0.804;0.4;0.684;0.565;0.5;1.5;2;0.028;0.085;0.056;1;0.6;0.7;0.2;1.6;102;105;-3;-1.2;0.149
Quinndary Weatherspoon;25;11;6.7;205;6,3;2.7;1.9;0.571;0.595;0.733;0.5;0.2;0.762;0.238;0.5;1;0.647;0.2;1.1;1.3;0.029;0.182;0.104;0.5;0.3;0.1;0.1;1.4;110.8;119.4;-8.6;-0.9;0.15
R.J. Hampton;21;64;21.9;175;6,4;7.6;7.1;0.383;0.453;0.454;2.9;0.35;0.6;0.4;1.8;0.641;0.481;0.4;2.7;3;0.015;0.12;0.065;2.5;1.4;0.7;0.2;1.6;99.1;113.5;-14.5;-6.5;0.18
RJ Barrett;22;70;34.5;214;6,6;20;17.1;0.408;0.466;0.498;5.8;0.342;0.662;0.338;5.8;0.714;0.511;0.9;4.9;5.8;0.025;0.136;0.079;3;2.2;0.6;0.2;2;108.3;111.6;-3.3;-2.1;0.268
RJ Nembhard Jr.;23;14;4.5;200;6,4;1.1;1.3;0.333;0.333;0.8;0.1;0;0.889;0.111;0.3;0.75;0.38;0.2;0.3;0.5;0.042;0.056;0.049;0.9;0.2;0.1;0;0.1;82.7;91.1;-8.4;-0.5;0.16
Rajon Rondo;36;39;17.9;180;6,1;4.8;4.5;0.386;0.474;0.398;2.3;0.352;0.5;0.5;0.7;0.731;0.496;0.4;2.4;2.8;0.02;0.118;0.07;4.4;1.7;0.8;0.2;1.4;98.9;106.8;-7.8;-2.8;0.152
Raul Neto;30;70;19.6;180;6,2;7.5;6.3;0.463;0.502;0.643;1.7;0.292;0.728;0.272;1.5;0.769;0.538;0.2;1.7;1.9;0.01;0.089;0.05;3.1;1.1;0.8;0;1.5;109.6;112.9;-3.3;-1.2;0.18
Rayjon Tucker;24;5;14.2;209;6,3;4.2;1.8;0.667;0.889;0.19;1;0.8;0.444;0.556;1.4;0.714;0.869;0.6;1;1.6;0.051;0.076;0.064;2;0.2;0.8;0;1;114.8;117.5;-2.7;-0.4;0.075
Reggie Bullock;31;68;28;205;6,6;8.6;7.4;0.401;0.542;0.206;5.8;0.36;0.218;0.782;0.7;0.833;0.558;0.5;3.1;3.5;0.017;0.106;0.063;1.2;0.6;0.6;0.2;1.6;113.3;106.7;6.6;4;0.128
Reggie Jackson;32;75;31.2;208;6,2;16.8;16.3;0.392;0.46;0.494;6.8;0.326;0.581;0.419;2.2;0.847;0.488;0.5;3.1;3.6;0.016;0.092;0.055;4.8;2.3;0.7;0.2;2.1;108.2;109.4;-1.3;-0.9;0.273
Reggie Perry;22;10;18.7;250;6,8;9.2;7.9;0.506;0.525;0.804;1.6;0.188;0.797;0.203;1.5;0.6;0.537;1.5;3.2;4.7;0.074;0.165;0.118;1.2;1.1;0.9;0.6;3.3;100.5;117.1;-16.6;-7.8;0.222
Richaun Holmes;28;45;23.9;235;6,10;10.4;6.7;0.66;0.663;0.838;0.1;0.4;0.983;0.017;2;0.778;0.689;2.1;5;7;0.082;0.198;0.14;1.1;1.2;0.4;0.9;2.8;107.2;113;-5.8;-3;0.153
Ricky Rubio;31;34;28.5;190;6,2;13.1;12.1;0.363;0.434;0.404;5.1;0.339;0.577;0.423;3;0.854;0.488;0.4;3.7;4.1;0.015;0.122;0.069;6.6;2.6;1.4;0.2;2.2;108.6;99.5;9.1;5.4;0.234
Rob Edwards;25;2;5.4;205;6,5;1.5;2;0.25;0.375;0;2;0.25;0;1;0;0;0.375;0;1.5;1.5;0;0.214;0.103;0;0.5;0;0;0;50;109.1;-59.1;-7;0.227
Robert Covington;31;71;27.3;209;6,7;8.5;7;0.42;0.548;0.268;4.8;0.378;0.319;0.681;1;0.841;0.572;0.8;4.7;5.5;0.03;0.167;0.098;1.3;1.1;1.5;1.3;2.7;110.9;110.2;0.6;0.5;0.134
Robert Williams III;24;61;29.6;237;6,9;10;6;0.736;0.736;0.893;0;0;0.997;0.003;1.5;0.722;0.745;3.9;5.7;9.6;0.131;0.178;0.155;2;1;0.9;2.2;2.2;113.4;103.4;10;6.1;0.112
Robert Woodard II;22;12;3.5;235;6,6;0.6;1.3;0.125;0.156;0.286;0.3;0.25;0.75;0.25;0.2;1;0.207;0.4;0.5;0.9;0.086;0.146;0.111;0.3;0.1;0.1;0.1;0.3;111.1;94.4;16.7;1.3;0.158
Robin Lopez;34;36;17;281;7,0;7.1;5.5;0.553;0.558;0.85;0.2;0.333;0.97;0.03;1.5;0.593;0.57;1.9;1.6;3.5;0.098;0.089;0.094;1.5;1.2;0.1;0.5;1.9;103.3;109.7;-6.4;-1.8;0.182
Rodney Hood;29;52;13.6;208;6,8;3.1;3;0.369;0.465;0.344;1.8;0.33;0.42;0.58;0.4;0.895;0.493;0.3;1.2;1.5;0.021;0.081;0.052;0.7;0.2;0.3;0.1;0.6;108.8;107.9;0.8;0.2;0.106
Rodney McGruder;30;51;14.8;205;6,4;5.4;4.4;0.436;0.564;0.293;2.9;0.397;0.351;0.649;0.5;0.731;0.577;0.6;1.6;2.2;0.037;0.104;0.069;0.9;0.5;0.4;0.1;1.1;105;108.7;-3.7;-1.1;0.142
Romeo Langford;22;48;16.1;216;6,5;4.5;4;0.435;0.51;0.495;1.8;0.341;0.555;0.445;0.9;0.548;0.52;0.6;1.6;2.3;0.035;0.092;0.063;0.4;0.3;0.5;0.3;1;104;103.1;1;0.1;0.123
Royce O'Neale;29;77;31.2;226;6,5;7.4;5.8;0.457;0.591;0.295;4;0.389;0.311;0.689;0.7;0.804;0.608;0.8;3.9;4.8;0.027;0.12;0.075;2.5;1;1.1;0.4;2.4;115.8;110.5;5.3;3;0.098
Rudy Gay;35;55;18.9;250;6,8;8.1;6.9;0.414;0.507;0.39;3.7;0.345;0.464;0.536;1.4;0.785;0.539;1;3.4;4.4;0.05;0.166;0.109;1;0.9;0.5;0.3;1.7;113.6;104.9;8.7;3.3;0.185
Rudy Gobert;30;66;32.1;258;7,1;15.6;7.7;0.713;0.713;0.705;0.1;0;0.992;0.008;6.7;0.69;0.732;3.7;11;14.7;0.114;0.312;0.217;1.1;1.8;0.7;2.1;2.7;114.1;104.5;9.6;6.3;0.166
Rui Hachimura;24;42;22.5;230;6,8;11.3;9.1;0.491;0.563;0.556;2.9;0.447;0.677;0.323;1.6;0.697;0.579;0.6;3.2;3.8;0.027;0.143;0.086;1.1;0.8;0.5;0.2;1.3;108.7;115.8;-7.1;-3;0.205
Russell Westbrook;33;78;34.3;200;6,3;18.5;15.8;0.444;0.476;0.651;3.4;0.298;0.785;0.215;5.1;0.667;0.512;1.4;6;7.4;0.039;0.165;0.103;7.1;3.8;1;0.3;3;107.5;111.5;-4;-2.7;0.264
Ryan Arcidiacono;28;10;7.6;195;6,3;1.6;1.2;0.5;0.667;0.25;0.9;0.444;0.25;0.75;0;0;0.667;0;0.8;0.8;0;0.105;0.052;0.4;0.3;0.1;0;0.5;91.1;99.4;-8.2;-1.2;0.085
Saben Lee;23;37;16.3;183;6,2;5.6;4.8;0.39;0.429;0.529;1.6;0.233;0.661;0.339;1.9;0.789;0.499;0.5;1.9;2.4;0.026;0.113;0.067;2.9;1;1;0.3;1.2;105.1;110.8;-5.7;-2.2;0.169
Saddiq Bey;23;82;33;215;6,7;16.1;13.9;0.396;0.489;0.362;7.4;0.346;0.463;0.537;3.1;0.827;0.529;1.3;4.1;5.4;0.035;0.125;0.078;2.8;1.2;0.9;0.2;1.6;104.7;114;-9.3;-6.1;0.209
Sam Dekker;28;1;0.9;219;6,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;-250;-5;0
Sam Hauser;24;26;6.1;217;6,7;2.5;1.9;0.46;0.65;0.123;1.7;0.432;0.12;0.88;0;0;0.65;0.2;0.9;1.1;0.03;0.133;0.084;0.4;0.1;0;0.1;0.3;105.7;106;-0.3;0;0.136
Sam Merrill;26;6;9.6;205;6,4;4.2;4;0.333;0.479;0.08;3.8;0.304;0.042;0.958;0.7;0.5;0.485;0.2;1;1.2;0.012;0.107;0.05;0.7;0.3;0;0;0.5;101.6;112.7;-11.1;-1.5;0.178
Sandro Mamukelashvili;23;41;9.9;240;6,9;3.8;2.8;0.496;0.591;0.455;1.3;0.423;0.548;0.452;0.5;0.818;0.618;0.9;1.1;2;0.079;0.116;0.097;0.5;0.4;0.2;0.2;0.7;99.6;117.3;-17.6;-3.5;0.142
Santi Aldama;21;32;11.2;215;6,11;4.1;4.1;0.402;0.424;0.712;1.5;0.125;0.636;0.364;1;0.625;0.452;1;1.7;2.7;0.077;0.15;0.11;0.7;0.5;0.2;0.3;1.1;105.9;104.6;1.3;0.5;0.174
Scottie Barnes;20;74;35.4;225;6,7;15.3;12.6;0.492;0.524;0.707;2.6;0.301;0.793;0.207;2.9;0.735;0.552;2.6;4.9;7.5;0.068;0.141;0.102;3.5;1.8;1.1;0.7;2.6;110.2;108.4;1.8;0.9;0.187
Scottie Lewis;22;2;3.3;185;6,5;0.5;0;0;0;0;0;0;0;0;1;0.5;0.568;0;0;0;0;0;0;0.5;0;0.5;0;0;100;111.8;-11.8;-2;0.059
Scotty Hopson;32;1;17.7;204;6,7;4;4;0.5;0.5;1;1;0;0.75;0.25;0;0;0.5;0;1;1;0;0.043;0.024;1;2;0;0;1;81.6;100;-18.4;-6;0.143
Sekou Doumbouya;21;2;8.2;230;6,9;7;4;0.625;0.688;0.571;1;0.5;0.75;0.25;2;0.75;0.717;1;2;3;0.111;0.182;0.15;0;1;1.5;1;0.5;108.3;40.5;67.8;12;0.286
Semi Ojeleye;27;30;13.5;240;6,6;3.3;3.3;0.303;0.379;0.306;1.7;0.3;0.495;0.505;1;0.793;0.438;0.9;1.6;2.5;0.057;0.111;0.083;0.3;0.3;0.2;0.2;1;97.8;114.4;-16.6;-4.8;0.126
Serge Ibaka;32;54;16.3;235;6,10;6.8;5.5;0.5;0.563;0.608;1.8;0.374;0.666;0.334;0.8;0.727;0.579;1.1;3.5;4.6;0.07;0.197;0.135;0.9;0.8;0.2;0.6;1.9;106;108.9;-3;-1;0.172
Seth Curry;31;64;33.3;185;6,2;15;11.5;0.487;0.594;0.421;5.8;0.422;0.494;0.506;1.5;0.872;0.615;0.3;2.8;3.1;0.01;0.082;0.047;3.6;1.7;0.8;0.2;2.3;113.7;109.2;4.5;3;0.182
Shai Gilgeous-Alexander;23;56;34.7;180;6,6;24.5;18.8;0.453;0.496;0.566;5.3;0.3;0.718;0.282;7.2;0.81;0.557;0.7;4.3;5;0.017;0.114;0.065;5.9;2.8;1.3;0.8;2.5;106.6;113;-6.4;-4.7;0.298
Shake Milton;25;55;21.4;205;6,5;8.2;7.3;0.429;0.483;0.578;2.4;0.323;0.67;0.33;1.3;0.836;0.517;0.5;2;2.6;0.025;0.094;0.059;2.5;0.8;0.5;0.3;1.8;108.6;109.6;-1;-0.5;0.174
Shaq Buchanan;25;2;4.9;190;6,3;1;2;0.25;0.25;1;1;0;0.5;0.5;0;0;0.25;0.5;0.5;1;0.091;0.143;0.111;1;1;0.5;0;0.5;108.7;117.4;-8.7;-1;0.214
Shaquille Harrison;28;2;11.3;195;6,4;2;3;0.333;0.333;1;1;0;0.667;0.333;0;0;0.333;0.5;1.5;2;0.053;0.125;0.093;1.5;1;0.5;0.5;1.5;91.8;104.3;-12.4;-2;0.148
Sharife Cooper;21;13;3;176;6,1;0.5;1.1;0.214;0.25;0.571;0.5;0.167;0.571;0.429;0;0;0.25;0;0.4;0.4;0;0.147;0.062;0.4;0.4;0;0;0.1;62.1;106;-43.9;-2.7;0.202
Skylar Mays;24;28;7.9;205;6,4;2.9;2.3;0.5;0.563;0.6;0.9;0.32;0.609;0.391;0.3;0.889;0.589;0.2;0.7;0.9;0.022;0.091;0.056;0.6;0.4;0.3;0;0.3;104.6;117.5;-12.9;-1.9;0.149
Solomon Hill;31;13;10.7;226;6,6;0.6;1.5;0.15;0.2;0.25;1;0.154;0.35;0.65;0;0;0.2;0.5;1.3;1.8;0.043;0.115;0.08;0.9;0.1;0.3;0.2;1.2;109.4;95.1;14.3;3.2;0.064
Spencer Dinwiddie;29;67;29.6;215;6,6;13.7;11;0.416;0.493;0.422;4.9;0.339;0.551;0.449;3.8;0.774;0.543;0.7;3.5;4.2;0.022;0.111;0.068;5.2;1.6;0.7;0.2;2.2;108.4;109.4;-1;-0.7;0.208
Stanley Johnson;26;48;22.8;242;6,6;6.7;5.2;0.466;0.532;0.525;2.2;0.314;0.582;0.418;1.5;0.716;0.564;0.7;2.5;3.2;0.032;0.109;0.071;1.7;0.7;0.9;0.3;2.3;114;115.2;-1.1;-1;0.125
Stephen Curry;34;64;34.5;185;6,2;25.5;19.1;0.437;0.554;0.307;11.7;0.38;0.387;0.613;4.7;0.923;0.601;0.5;4.7;5.2;0.015;0.126;0.073;6.3;3.2;1.3;0.4;2;114.1;103.4;10.7;8;0.293
Sterling Brown;27;49;12.8;219;6,5;3.3;3.2;0.381;0.471;0.388;1.9;0.304;0.406;0.594;0.3;0.933;0.495;0.5;2.5;3;0.039;0.187;0.113;0.7;0.5;0.3;0.1;1.1;105.4;103.1;2.3;0.7;0.124
Steven Adams;28;76;26.3;265;6,11;6.9;5.1;0.547;0.547;0.795;0;0;0.997;0.003;2.6;0.543;0.56;4.6;5.4;10;0.159;0.198;0.178;3.4;1.5;0.9;0.8;2;117.8;109.5;8.3;4.6;0.118
Svi Mykhailiuk;25;56;12.8;205;6,7;4.6;4.2;0.389;0.476;0.392;2.4;0.306;0.427;0.573;0.7;0.865;0.509;0.4;1.3;1.6;0.024;0.101;0.06;0.8;0.6;0.5;0.1;1;103.6;109.5;-5.9;-1.4;0.161
T.J. McConnell;30;27;24.2;190;6,1;8.5;7.7;0.481;0.505;0.786;1.2;0.303;0.841;0.159;0.9;0.826;0.525;0.7;2.6;3.3;0.029;0.11;0.069;4.9;1.1;1.1;0.4;2;106.8;112.3;-5.5;-2.7;0.157
Tacko Fall;26;11;5.3;311;7,6;1.1;1.1;0.417;0.417;0.833;0;0;1;0;0.6;0.286;0.398;0.6;1.5;2.1;0.115;0.271;0.192;0.2;0.3;0;0.5;0.3;100;100.8;-0.8;0.5;0.124
Taj Gibson;37;52;18.2;232;6,9;4.4;3.2;0.518;0.563;0.62;0.7;0.395;0.771;0.229;1;0.808;0.606;1.7;2.7;4.4;0.088;0.139;0.114;0.6;0.5;0.4;0.8;2.6;107.4;104.2;3.3;0.8;0.099
Talen Horton-Tucker;21;60;25.2;234;6,4;10;9;0.416;0.462;0.586;3;0.269;0.662;0.338;2.1;0.8;0.503;0.6;2.6;3.2;0.024;0.1;0.061;2.7;1.4;1;0.5;2.5;107.9;110.1;-2.2;-1.5;0.189
Taurean Prince;28;69;17.1;218;6,6;7.3;5.7;0.454;0.564;0.363;3.3;0.376;0.413;0.587;1.2;0.756;0.589;0.4;2.1;2.5;0.021;0.12;0.07;1;0.8;0.7;0.3;1.7;111.6;110.9;0.7;-0.1;0.166
Terance Mann;25;81;28.6;215;6,5;10.8;8.5;0.484;0.539;0.592;2.6;0.365;0.699;0.301;2;0.78;0.572;1.3;4;5.2;0.044;0.127;0.086;2.6;1;0.7;0.3;2.2;108.6;107.1;1.5;0.8;0.157
Terence Davis;25;30;17.9;201;6,4;10.4;8.9;0.423;0.515;0.412;5;0.329;0.442;0.558;1.5;0.818;0.543;0.4;2.8;3.1;0.019;0.138;0.08;1.3;1.1;0.8;0.4;2.3;113.4;109;4.4;2;0.244
Terrence Ross;31;63;23;206;6,6;10;8.8;0.397;0.467;0.455;4.2;0.292;0.523;0.477;2.1;0.862;0.515;0.3;2.2;2.6;0.013;0.094;0.052;1.8;1.2;0.4;0.2;1.1;101.9;113.8;-11.9;-5.5;0.196
Terry Rozier;28;73;33.7;190;6,1;19.3;16;0.444;0.539;0.42;8.1;0.374;0.492;0.508;2.4;0.852;0.566;0.8;3.5;4.3;0.021;0.101;0.061;4.5;1.3;1.3;0.3;1.6;113.3;112;1.4;1;0.227
Terry Taylor;22;33;21.6;230;6,5;9.6;6.7;0.614;0.641;0.774;1.2;0.316;0.827;0.173;1.5;0.706;0.656;2.9;2.3;5.2;0.129;0.117;0.123;1.2;0.7;0.4;0.2;1.8;112.2;119.1;-6.9;-3.5;0.151
Thaddeus Young;34;52;16.3;235;6,8;6.2;5.2;0.518;0.55;0.77;0.9;0.354;0.824;0.176;0.9;0.469;0.548;1.5;2.5;4;0.088;0.152;0.119;2;1;1;0.3;1.6;106.1;106.3;-0.2;0.4;0.169
Thanasis Antetokounmpo;29;48;9.9;219;6,6;3.6;2.7;0.547;0.555;0.795;0.3;0.143;0.891;0.109;1;0.63;0.577;0.8;1.3;2.1;0.083;0.129;0.106;0.5;0.5;0.3;0.3;1.4;104.3;114.4;-10.1;-2.4;0.155
Theo Maledon;21;51;17.8;175;6,4;7.1;6.2;0.375;0.445;0.416;2.9;0.293;0.527;0.473;2;0.79;0.5;0.4;2.2;2.6;0.02;0.118;0.068;2.2;1.3;0.6;0.2;1.3;101.8;112.3;-10.5;-3.9;0.201
Theo Pinson;26;19;7.8;212;6,5;2.5;2.1;0.359;0.487;0.167;1.6;0.333;0.231;0.769;0.5;1;0.553;0.1;1;1.1;0.012;0.124;0.067;0.9;0.3;0.3;0.1;0.6;95.2;107.6;-12.4;-2.2;0.138
Thomas Bryant;24;27;16.3;248;6,10;7.4;5.5;0.52;0.561;0.647;1.6;0.286;0.716;0.284;1.5;0.875;0.607;1;3;4;0.06;0.187;0.124;0.9;0.7;0.2;0.8;1.6;103.7;112.8;-9.1;-2.8;0.188
Tim Frazier;31;12;17.3;170;6,0;3.3;3.8;0.311;0.378;0.41;1.4;0.353;0.622;0.378;0.8;0.556;0.398;0.4;1.2;1.6;0.024;0.066;0.045;2.8;1.3;0.3;0.1;2.3;92.7;110.2;-17.5;-6.7;0.137
Tim Hardaway Jr.;30;42;29.6;205;6,5;14.2;12.6;0.394;0.491;0.358;7.2;0.336;0.426;0.574;2.5;0.757;0.52;0.3;3.4;3.7;0.01;0.114;0.061;2.2;0.8;0.9;0.1;1.8;108.9;107.7;1.3;0.9;0.214
Timothe Luwawu-Cabarrot;27;52;13.2;215;6,7;4.4;3.6;0.398;0.516;0.264;2.3;0.361;0.344;0.656;0.8;0.854;0.556;0.3;1.3;1.6;0.024;0.094;0.058;0.8;0.4;0.3;0.1;1.5;109.7;113.2;-3.5;-1;0.135
Tobias Harris;29;73;34.8;226;6,7;17.2;14;0.482;0.532;0.624;3.8;0.367;0.731;0.269;2.8;0.842;0.566;1.1;5.7;6.8;0.032;0.164;0.099;3.5;1.6;0.6;0.6;2.2;113.2;110;3.2;2.3;0.214
Tomas Satoransky;30;55;16.5;210;6,7;3.6;3.5;0.377;0.406;0.616;1;0.208;0.723;0.277;1;0.796;0.461;0.5;1.8;2.3;0.029;0.11;0.069;3.3;0.8;0.5;0.1;1.3;104.4;112.4;-8;-3;0.124
Tony Bradley;24;55;10;248;6,10;3;2.2;0.585;0.585;0.883;0;0;1;0;0.5;0.655;0.6;1.2;2.2;3.4;0.123;0.196;0.161;0.5;0.6;0.2;0.6;1.1;110.2;105;5.2;1.3;0.128
Tony Snell;30;53;15.5;213;6,6;3.5;3.2;0.404;0.535;0.257;2.4;0.352;0.251;0.749;0.1;1;0.541;0.3;1.6;1.9;0.018;0.107;0.061;0.5;0.4;0.3;0.2;1.3;104.8;112.6;-7.8;-2.2;0.099
Torrey Craig;31;78;20.5;221;6,7;6.6;5.7;0.454;0.541;0.477;3;0.329;0.469;0.531;0.7;0.75;0.556;1.1;2.9;4;0.05;0.137;0.093;1.2;0.9;0.6;0.5;1.9;106.8;111.8;-5;-2.4;0.139
Trae Young;23;76;34.9;164;6,1;28.4;20.3;0.46;0.536;0.444;8;0.382;0.605;0.395;7.3;0.904;0.603;0.7;3.1;3.7;0.019;0.087;0.053;9.7;4;0.9;0.1;1.7;117.2;114.9;2.3;2.1;0.333
Trayvon Palmer;27;1;16.8;200;6,6;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0.133;0.065;0;1;0;0;2;78.8;111.8;-33;-12;0.053
Tre Jones;22;69;16.6;185;6,1;6;4.9;0.49;0.504;0.755;0.7;0.196;0.85;0.15;1.3;0.78;0.545;0.4;1.8;2.2;0.024;0.103;0.064;3.4;0.7;0.6;0.1;1.1;108.8;109.3;-0.5;-0.2;0.151
Tre Mann;21;60;22.8;178;6,3;10.4;9.8;0.393;0.476;0.426;4.5;0.36;0.537;0.463;1.4;0.793;0.501;0.4;2.4;2.9;0.017;0.101;0.058;1.5;1.2;0.8;0.2;1.7;101.7;112;-10.3;-4.6;0.213
Tremont Waters;24;3;16.8;175;5,10;3.3;4.7;0.286;0.357;0.4;3;0.222;0.357;0.643;0;0;0.357;0;1.3;1.3;0;0.077;0.04;2.3;1.3;1.7;0;1.3;105.4;122.5;-17.1;-6.3;0.15
Trendon Watford;21;48;18.1;237;6,8;7.6;5.6;0.532;0.549;0.731;0.8;0.237;0.858;0.142;2;0.755;0.59;1.2;3;4.1;0.06;0.163;0.109;1.7;0.9;0.5;0.6;2.4;100.5;118.4;-17.9;-7.3;0.169
Trent Forrest;24;60;12.8;210;6,4;3.3;2.6;0.49;0.506;0.728;0.5;0.185;0.826;0.174;0.8;0.792;0.554;0.4;1.3;1.7;0.031;0.093;0.064;1.8;0.8;0.5;0.1;0.7;113;108.5;4.5;1.3;0.124
Trevelin Queen;25;10;7.4;190;6,6;4.3;3.3;0.455;0.591;0.279;2.4;0.375;0.273;0.727;0.4;1;0.619;0.7;0.9;1.6;0.091;0.134;0.111;0.4;0.7;0.5;0.1;0.6;112.9;107.3;5.6;0.8;0.219
Trevon Scott;25;2;5.7;225;6,8;3;3;0.5;0.5;1;0.5;0;0.833;0.167;0;0;0.5;0.5;0.5;1;0.071;0.083;0.077;0;0;0.5;0.5;1;104;84.6;19.4;2;0.207
Trevor Ariza;37;24;19.3;215;6,8;4;4.1;0.333;0.434;0.271;3.1;0.27;0.253;0.747;0.8;0.556;0.449;0.4;3;3.4;0.02;0.151;0.084;1.1;0.5;0.5;0.3;0.8;106.9;112.2;-5.3;-2.3;0.11
Trey Burke;29;42;10.5;185;6,0;5.1;5.1;0.391;0.451;0.542;2;0.317;0.619;0.381;0.5;0.87;0.475;0.1;0.7;0.8;0.009;0.064;0.037;1.4;0.6;0.3;0;0.9;103.6;104.2;-0.5;-0.2;0.25
Trey Lyles;26;75;20.5;234;6,9;10.5;7.5;0.466;0.526;0.496;2.8;0.321;0.628;0.372;3.2;0.802;0.588;1.2;3.9;5.1;0.056;0.189;0.121;1.2;1;0.4;0.4;1.6;106.4;113.6;-7.2;-3;0.205
Trey Murphy III;22;62;13.9;206;6,8;5.4;4.5;0.394;0.522;0.228;3;0.382;0.329;0.671;0.8;0.882;0.558;0.8;1.6;2.4;0.049;0.122;0.083;0.6;0.3;0.4;0.1;1;108.1;107.8;0.3;0;0.147
Tristan Thompson;31;57;15.7;254;6,9;6;4.7;0.528;0.53;0.814;0.1;0.333;0.989;0.011;2;0.526;0.541;2.1;2.9;5.1;0.125;0.196;0.159;0.6;0.8;0.4;0.4;1.7;112.1;115.7;-3.6;-1.1;0.168
